STN,YYYYMMDD,   RD,   SX
550,18970102,     ,     
550,18970103,     ,     
550,18970104,     ,     
550,18970105,     ,     
550,18970106,     ,     
550,18970107,     ,     
550,18970108,     ,     
550,18970109,     ,     
550,18970110,     ,     
550,18970111,     ,     
550,18970112,     ,     
550,18970113,     ,     
550,18970114,     ,     
550,18970115,     ,     
550,18970116,     ,     
550,18970117,     ,     
550,18970118,     ,     
550,18970119,     ,     
550,18970120,     ,     
550,18970121,     ,     
550,18970122,     ,     
550,18970123,     ,     
550,18970124,     ,     
550,18970125,     ,     
550,18970126,     ,     
550,18970127,     ,     
550,18970128,     ,     
550,18970129,     ,     
550,18970130,     ,     
550,18970131,     ,     
550,18970201,     ,     
550,18970202,     ,     
550,18970203,     ,     
550,18970204,     ,     
550,18970205,     ,     
550,18970206,     ,     
550,18970207,     ,     
550,18970208,     ,     
550,18970209,     ,     
550,18970210,     ,     
550,18970211,     ,     
550,18970212,     ,     
550,18970213,     ,     
550,18970214,     ,     
550,18970215,     ,     
550,18970216,     ,     
550,18970217,     ,     
550,18970218,     ,     
550,18970219,     ,     
550,18970220,     ,     
550,18970221,     ,     
550,18970222,     ,     
550,18970223,     ,     
550,18970224,     ,     
550,18970225,     ,     
550,18970226,     ,     
550,18970227,     ,     
550,18970228,     ,     
550,18970301,     ,     
550,18970302,     ,     
550,18970303,     ,     
550,18970304,     ,     
550,18970305,     ,     
550,18970306,     ,     
550,18970307,     ,     
550,18970308,     ,     
550,18970309,     ,     
550,18970310,     ,     
550,18970311,     ,     
550,18970312,     ,     
550,18970313,     ,     
550,18970314,     ,     
550,18970315,     ,     
550,18970316,     ,     
550,18970317,     ,     
550,18970318,     ,     
550,18970319,     ,     
550,18970320,     ,     
550,18970321,     ,     
550,18970322,     ,     
550,18970323,     ,     
550,18970324,     ,     
550,18970325,     ,     
550,18970326,     ,     
550,18970327,     ,     
550,18970328,     ,     
550,18970329,     ,     
550,18970330,     ,     
550,18970331,     ,     
550,18970401,     ,     
550,18970402,     ,     
550,18970403,     ,     
550,18970404,     ,     
550,18970405,     ,     
550,18970406,     ,     
550,18970407,     ,     
550,18970408,     ,     
550,18970409,     ,     
550,18970410,     ,     
550,18970411,     ,     
550,18970412,     ,     
550,18970413,     ,     
550,18970414,     ,     
550,18970415,     ,     
550,18970416,     ,     
550,18970417,     ,     
550,18970418,     ,     
550,18970419,     ,     
550,18970420,     ,     
550,18970421,     ,     
550,18970422,     ,     
550,18970423,     ,     
550,18970424,     ,     
550,18970425,     ,     
550,18970426,     ,     
550,18970427,     ,     
550,18970428,     ,     
550,18970429,     ,     
550,18970430,     ,     
550,18970501,     ,     
550,18970502,     ,     
550,18970503,     ,     
550,18970504,     ,     
550,18970505,     ,     
550,18970506,     ,     
550,18970507,     ,     
550,18970508,     ,     
550,18970509,     ,     
550,18970510,     ,     
550,18970511,     ,     
550,18970512,     ,     
550,18970513,     ,     
550,18970514,     ,     
550,18970515,     ,     
550,18970516,     ,     
550,18970517,     ,     
550,18970518,     ,     
550,18970519,     ,     
550,18970520,     ,     
550,18970521,     ,     
550,18970522,     ,     
550,18970523,     ,     
550,18970524,     ,     
550,18970525,     ,     
550,18970526,     ,     
550,18970527,     ,     
550,18970528,     ,     
550,18970529,     ,     
550,18970530,     ,     
550,18970531,     ,     
550,18970601,     ,     
550,18970602,     ,     
550,18970603,     ,     
550,18970604,     ,     
550,18970605,     ,     
550,18970606,     ,     
550,18970607,     ,     
550,18970608,     ,     
550,18970609,     ,     
550,18970610,     ,     
550,18970611,     ,     
550,18970612,     ,     
550,18970613,     ,     
550,18970614,     ,     
550,18970615,     ,     
550,18970616,     ,     
550,18970617,     ,     
550,18970618,     ,     
550,18970619,     ,     
550,18970620,     ,     
550,18970621,     ,     
550,18970622,     ,     
550,18970623,     ,     
550,18970624,     ,     
550,18970625,     ,     
550,18970626,     ,     
550,18970627,     ,     
550,18970628,     ,     
550,18970629,     ,     
550,18970630,     ,     
550,18970701,     ,     
550,18970702,     ,     
550,18970703,     ,     
550,18970704,     ,     
550,18970705,     ,     
550,18970706,     ,     
